amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 40}",f1:0.038,AUC:0.789,Acc:0.971,0.0744
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"{'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 60}",f1:0.059,AUC:0.712,Acc:0.972,0.0623
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.058,AUC:0.636,Acc:0.971,0.0577
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.02,AUC:0.787,Acc:0.971,0.0511
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.047,AUC:0.652,Acc:0.971,0.047
0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.038,AUC:0.715,Acc:0.971,0.0397
0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.036,AUC:0.635,Acc:0.971,0.0378
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.021,AUC:0.626,Acc:0.971,0.0323
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.031,AUC:0.708,Acc:0.971,0.031
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 40}",f1:0.015,AUC:0.656,Acc:0.971,0.0302
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 60}",f1:0.006,AUC:0.878,Acc:0.971,0.0271
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.027,AUC:0.812,Acc:0.971,0.027
0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 50}",f1:0.007,AUC:0.743,Acc:0.971,0.0213
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.018,AUC:0.757,Acc:0.971,0.0181
0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 60}",f1:0.015,AUC:0.656,Acc:0.971,0.0165
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 60}",f1:0.007,AUC:0.85,Acc:0.971,0.016
